id_paiement,id_inscription,reference,date_paiement,montant,mode_paiement,statut,tranche
cc95f389-5618-4e59-8368-e975d256c19c,129a9b4a-bcc2-4bf9-9d48-aff4fb726e95,REF52074161,2026-02-06,10000.0,Orange Money,,Tranche 1
4ef4f86d-8a18-4bc4-bc01-7c21bdc6020a,7f1816eb-0efd-4bdb-bf04-e26792a16df3,REF39201057,2026-05-11,15000000.0,Chèque,,3eme
6f43dfee-067d-4722-a779-1f06ecf66bd4,071d28d6-ba7f-436a-b0a6-af6cde1246f4,REF_DOUBLON_123,2025-06-17,10000.0,OM,,3eme
c32556e7-d28c-4eab-b4be-936a871e8927,6d919a5d-5730-4992-87a8-08e1bbb7e6f5,REF_DOUBLON_123,2025-02-09,15000000.0,orange money,REFUSE,1ere
4f19a02d-7348-4524-a2a1-ed68b71be10e,eacd7719-bfa6-48cb-bed5-d3b9df1b6977,REF81569218,2026-03-10,50000.0,Wave,VALIDE,2eme
a1e5a032-ad9c-4462-8160-5096f647c4fc,022bb77f-c610-4d3f-8c44-5e832746fcce,REF08801514,2025-02-04,50000.0,orange money,REFUSE,Tranche 1
71cc4552-d8d1-4e2d-9b8c-71c28f5250f7,115be444-927d-4492-81de-6c494632768f,REF_DOUBLON_123,2024-09-23,-15000.0,orange money,REFUSE,3eme
addeee41-ddd8-4134-98d0-3d38770a93d2,7e8715f7-ec9b-45e7-a1cc-fbe6ec7fb9c7,REF83923367,2025-07-29,10000.0,Chèque,,3eme
2c56248f-34ea-42cf-b6cf-870bd4bff281,9d9c1658-3a3d-4661-a840-6b4d47a0f223,REF07872356,2024-08-15,-15000.0,Espèces,ECHEC,3eme
08f857d2-0ac0-4045-8d81-982374b21e38,41984534-5d9f-434a-aa9f-5468f93fc735,REF73441560,2025-02-25,15000000.0,Chèque,ECHEC,Tranche 1
af232366-6b4e-4662-99fe-f18988ceca29,5c74f582-291e-4fae-832f-ecc9f6e00003,REF89741050,2025-05-14,50000.0,Orange Money,ECHEC,Tranche 1
c5dd14cf-7d3d-435c-8631-0bf53a576c27,d6750996-ecad-4856-a054-ba1f44401c85,REF_DOUBLON_123,2025-08-19,0.0,Chèque,ECHEC,3eme
2323b898-2276-4e18-9b61-c6e2b605ca2d,93dfea31-afee-480a-ad28-3fe97ec854c0,REF87547826,2025-10-04,50000.0,OM,REFUSE,2eme
7bfe6a35-bb6d-42f2-a7aa-84c1d388c5c9,c43cf013-170a-47e6-a33a-3ffd2c0913e7,REF66520584,2026-06-04,50000.0,OM,VALIDE,Tranche 1
b1cd7134-1cbf-498e-b523-db12ae39e231,926833c2-a3d7-4f70-bc21-053308d3e683,REF95250437,2025-08-07,0.0,orange money,VALIDE,2eme
88f030a3-918d-4f48-9db8-32624002fd99,1954aad0-802e-4385-b0a3-169f1a9a7bbb,REF93469876,2025-03-30,10000.0,orange money,,1ere
8193e973-18a7-4db6-a3b8-e3fad0225d5a,74349375-5dd8-4433-9a44-ee1bcb9f71e7,REF44562068,2026-02-07,10000.0,Virement,VALIDE,1ere
b7180b4e-a5ee-43c3-b60c-4b537c0bcff8,f7415258-70cc-4657-89b2-ef230479626e,REF15864377,2025-11-02,15000000.0,Chèque,ECHEC,Tranche 1
58b78fd9-ac7a-4cba-aad1-fb364b97e60c,50089051-0d33-498f-95bd-8485f1e61696,REF74712084,2025-09-23,-15000.0,orange money,,1ere
5c9c652b-469b-456d-a722-cae257508709,c739847e-5cf0-4885-b7bc-58ceaeb1efc3,REF36771328,2024-10-02,50000.0,Espèces,REFUSE,1
a3135b42-61ab-471d-b9bd-cfe6a9db4783,27e1de26-c556-42c6-a0b6-30b88f5ee4ea,REF49992279,2024-08-14,0.0,Virement,VALIDE,3eme
91fb2b16-2229-44bb-835f-6de179696648,39007cb0-dc06-4188-b051-77b2d47a92e8,REF34016389,2025-12-04,50000.0,orange money,,1ere
49b2af32-4599-4a3f-be47-41bc9a0647ce,fc11ec1e-3b5c-4169-b4d1-6c4274780d0a,REF02538242,2025-08-10,0.0,orange money,ECHEC,Tranche 1
5b506567-3c1c-4de1-94e0-09df75a1fd76,d270847e-3827-4722-a1ca-c4336184242c,REF80100320,2025-09-10,15000000.0,Virement,VALIDE,2eme
6085ebad-792c-42d3-8e7e-2d07393c744c,f62aa91b-21b0-4179-8118-8915cefc222b,REF42289590,2026-03-16,10000.0,OM,REFUSE,3eme
cb2e5204-a17d-4630-859c-90daa96e0051,9a48c08a-b99b-4465-9c07-9bd7526cee0c,REF07742569,2025-03-23,15000000.0,Chèque,ECHEC,Tranche 1
e80824db-2459-4114-b4e4-d06379884ecf,f0fbf1d2-09f6-4688-87a9-38389f74b0d9,REF36956520,2025-01-07,50000.0,Wave,ECHEC,1
26422d29-0636-41f8-9704-6efa1ad42a0a,d9c563a6-241b-45bc-8e22-388091527a8a,REF09502305,2025-10-03,10000.0,Orange Money,VALIDE,1ere
86a54112-79bb-43da-9d61-c908de896297,fb3a8310-b7be-4eb6-8164-7d51ff1c7896,REF08050136,2025-12-30,0.0,OM,VALIDE,1
de96fa04-769c-490a-8f06-e23c982fcaca,dffab53c-c39e-468f-ada3-75cf0710a358,REF50637052,2026-04-13,50000.0,Wave,ECHEC,2eme
